title,time_addition,views
"Украина наступает в Курской области: обстрелы мирных жителей, пленные срочники и эвакуация | Новости","1,8 млн просмотров",1 день назад
Япония: страна невероятных профессий | Платные бездомные и друзья по вызову,570 тыс. просмотров,3 дня назад
"Чё Происходит #232 | Мизулина против Лебедева и Дудя, «Тайная вечеря» на Олимпиаде, замедление Ютуба","1,6 млн просмотров",5 дней назад
Политзэки на свободе: как прошла сделка Путина и Запада | И при чем здесь Навальный и Лукашенко,975 тыс. просмотров,7 дней назад
"Нигерия: Африка на максималках | Трущобы, крокодилы и китайские стройки","1,3 млн просмотров",10 дней назад
"Чё Происходит #231 | Кадыров спасет Wildberries, Путин дал звание Шаману, Лукашенко делает свой Ютуб","1,7 млн просмотров",12 дней назад
"Это лекарство вызвало ******** | 400 000 потерь в США, связь Китая и картели из Мексики","1,8 млн просмотров",2 недели назад
"Ивлееву сломили? Z-цензура против звезд шоу-бизнеса | Бузова, Собчак, Анна Асти, Билан и Киркоров","1,7 млн просмотров",2 недели назад
"Чё Происходит #230 | Герман Стерлигов против к*кашек, буферная зона в Белгороде, сбой в Windows","1,4 млн просмотров",2 недели назад
"«Боинг»: что с главным производителем самолетов в мире? | Суды, скандалы, кризис","1,5 млн просмотров",2 недели назад
"Япония: страна идеальных вещей | Кофе, сакэ, тунец и поезда","2,2 млн просмотров",3 недели назад
"Чё Происходит #229 | В Трампа стреляли, что будет с YouTube в России, Серкан Болат разозлил Милонова","1,3 млн просмотров",3 недели назад
"Ультраправый Запад: они хотят, как в России? | Радикалы в Европе, мигранты, вопрос Украины и Газы",923 тыс. просмотров,4 недели назад
"Китай: здесь построили самый большой и нелепый город в мире | Чунцин, мегаполис, небоскребы","1,9 млн просмотров",1 месяц назад
"Чё Происходит #228 | Визит Канье Уэста, арест счетов Хабиба, россияне не нашли ума у элиты","1,3 млн просмотров",1 месяц назад
"Новая война? Израиль против Хезболлы | Иран, Ливан, сектор Газа и ХАМАС","1,2 млн просмотров",1 месяц назад
"Бразилия: от худшей фавелы Рио до розовых дельфинов Амазонки | История, политика и индейцы",1 млн просмотров,1 месяц назад
"Чё Происходит #227 | Ордер на арест Шойгу, крушение поезда в Коми, последствия атаки на Дагестан","1,5 млн просмотров",1 месяц назад
"Скинхеды. Снова в России? | От девяностых до Манежки и 2020-х: драки, тюрьма и война в Украине","2,2 млн просмотров",1 месяц назад
"Бездомные Нью-Йорка: беспредел в приютах, мафия и ПТСР | Интервью, мигранты, США","2,3 млн просмотров",1 месяц назад
"Бои на улицах Дагестана: что известно об атаке на Дербент и Махачкалу? | Новости, Россия","1,2 млн просмотров",1 месяц назад
"Чё Происходит #226 | Путин в КНДР, патриоты против Меладзе, Белоусов о возвращение солдат с фронта","1,3 млн просмотров",1 месяц назад
"Скуфы захватили интернет: кто они и почему над ними смеются? | Хованский, Кашин, мемы",811 тыс. просмотров,1 месяц назад
"Африка: холод, джунгли и штурм Килиманджаро | Природа, путешествия, поход на кратер вулкана",536 тыс. просмотров,1 месяц назад
"Чё Происходит #225 | «Мирный ультиматум» Путина, Греф против таксистов, Ивлеева просит «сосать»","1,3 млн просмотров",1 месяц назад
"Хомяк: скам или инвестиции? | Главное про Хамстер Комбат: будет ли заработок и крипта, как в Ноткоин","1,8 млн просмотров",1 месяц назад
"Русский Вьетнам: от муйни до Ленина | Интервью с экспатами, русские рестораны и ностальгия по СССР",892 тыс. просмотров,1 месяц назад
"Чё Происходит #224 | Угрозы Путина на ПМЭФ, Мизулина против Бузовой, охота на квадроберов","1,6 млн просмотров",2 месяца назад
"Вебкам в Питере: почему его здесь так много?| вебкам-студии Санкт-Петербурга, деньги, облавы, шантаж","1,3 млн просмотров",2 месяца назад
"Плохая Новая Зеландия: ад на островах | Дискриминация коренных народов, странная еда, озоновые дыры","1,1 млн просмотров",2 месяца назад
"Чё Происходит #223 | Налог на войну, досмотры школьников перед ЕГЭ, умерла Анастасия Заворотнюк","1,4 млн просмотров",2 месяца назад
Туркменистан на максималках: город-призрак имени Бердымухамедова | Почему в Аркадаге никто не живет,"1,5 млн просмотров",2 месяца назад
Нью-Йорк: опрос американцев про Трампа и Украину | Выборы в США и связи с Путиным,1 млн просмотров,2 месяца назад
"Чё Происходит #222 | Путин сажает генералов, погиб президент Ирана Раиси, Ходорковский о конце войны","1,4 млн просмотров",2 месяца назад
"Коллекторы, банкротство, мошенники: как устроен рынок микрозаймов? | Деньги, экономика",892 тыс. просмотров,2 месяца назад
"Хорошая Новая Зеландия: рай на краю света | Легальный эскорт, свободная экономика, роскошная тюрьма","2,1 млн просмотров",2 месяца назад
"Чё Происходит #221 | Путин в Китае, Интервью Зимина о наследии Навального, приговор Бишимбаеву","1,6 млн просмотров",2 месяца назад
"Шойгу: гений пиара, создатель «Единой России» и враг Пригожина | От Тывы до войны","1,6 млн просмотров",2 месяца назад
"Вьетнам: от Хошимина до Нячанга | Крысы, электромобили и фейковый коммунизм","2,3 млн просмотров",2 месяца назад
